HCPCS,Description,Category,Modifier,Average Cost
A7507,Integrated filter & holder,"Ostomy, Tracheostomy & Urological Items",, $2.81 
A7508,Housing & integrated adhesiv,"Ostomy, Tracheostomy & Urological Items",, $3.24 
A7509,Heat & moisture exchange sys,"Ostomy, Tracheostomy & Urological Items",, $1.60 
A7520,Trach/laryn tube non-cuffed,"Ostomy, Tracheostomy & Urological Items",, $53.64 
A7521,Trach/laryn tube cuffed,"Ostomy, Tracheostomy & Urological Items",, $53.14 
A7522,Trach/laryn tube stainless,"Ostomy, Tracheostomy & Urological Items",, $51.02 
A7524,Tracheostoma stent/stud/bttn,"Ostomy, Tracheostomy & Urological Items",, $87.46 
A7525,Tracheostomy mask,"Ostomy, Tracheostomy & Urological Items",, $2.34 
A7526,Tracheostomy tube collar,"Ostomy, Tracheostomy & Urological Items",, $3.82 
A7527,Trach/laryn tube plug/stop,"Ostomy, Tracheostomy & Urological Items",, $4.05 
A8000,Soft protect helmet prefab,Inexpensive and Other Routinely Purchased Items ,Purchased New, $173.26 
A8001,Hard protect helmet prefab,Inexpensive and Other Routinely Purchased Items ,Purchased New, $173.26 
A8002,Soft protect helmet custom,Inexpensive and Other Routinely Purchased Items ,Purchased New,  $-   
A8003,Hard protect helmet custom,Inexpensive and Other Routinely Purchased Items ,Purchased New,  $-   
A8004,"Repl soft interface, helmet",Inexpensive and Other Routinely Purchased Items ,Purchased New,  $-   
E0100,Cane adjust/fixed with tip,Inexpensive and Other Routinely Purchased Items ,Purchased New, $23.02 
E0105,Cane adjust/fixed quad/3 pro,Inexpensive and Other Routinely Purchased Items ,Purchased New, $54.51 
E0110,Crutch forearm pair,Inexpensive and Other Routinely Purchased Items ,Purchased New, $84.10 
E0111,Crutch forearm each,Inexpensive and Other Routinely Purchased Items ,Purchased New, $57.07 
E0112,Crutch underarm pair wood,Inexpensive and Other Routinely Purchased Items ,Purchased New, $39.87 
E0113,Crutch underarm each wood,Inexpensive and Other Routinely Purchased Items ,Purchased New, $23.16 
E0114,Crutch underarm pair no wood,Inexpensive and Other Routinely Purchased Items ,Purchased New, $50.68 
E0116,Crutch underarm each no wood,Inexpensive and Other Routinely Purchased Items ,Purchased New, $29.13 
E0117,Underarm springassist crutch,Capped Rental Items ,Rented, $21.76 
E0130,Walker rigid adjust/fixed ht,Inexpensive and Other Routinely Purchased Items ,Purchased New, $44.42 
E0135,Walker folding adjust/fixed,Inexpensive and Other Routinely Purchased Items ,Purchased New, $44.49 
E0140,Walker w trunk support,Capped Rental Items ,Rented, $27.38 
E0141,Rigid wheeled walker adj/fix,Inexpensive and Other Routinely Purchased Items ,Purchased New, $46.36 
E0143,Walker folding wheeled w/o s,Inexpensive and Other Routinely Purchased Items ,Purchased New, $46.36 
E0144,Enclosed walker w rear seat,Capped Rental Items ,Rented, $26.08 
E0147,Walker variable wheel resist,Inexpensive and Other Routinely Purchased Items ,Purchased New, $387.25 
E0148,Heavyduty walker no wheels,Inexpensive and Other Routinely Purchased Items ,Purchased New, $80.77 
E0149,Heavy duty wheeled walker,Capped Rental Items ,Rented, $11.52 
E0153,Forearm crutch platform atta,Inexpensive and Other Routinely Purchased Items ,Purchased New, $74.69 
E0154,Walker platform attachment,Inexpensive and Other Routinely Purchased Items ,Purchased New, $48.19 
E0155,"Walker wheel attachment,pair",Inexpensive and Other Routinely Purchased Items ,Purchased New, $20.60 
E0156,Walker seat attachment,Inexpensive and Other Routinely Purchased Items ,Purchased New, $15.36 
E0157,Walker crutch attachment,Inexpensive and Other Routinely Purchased Items ,Purchased New, $54.86 
E0158,Walker leg extenders set of4,Inexpensive and Other Routinely Purchased Items ,Purchased New, $21.11 
E0159,Brake for wheeled walker,Inexpensive and Other Routinely Purchased Items ,Purchased New, $14.33 
E0160,Sitz type bath or equipment,Inexpensive and Other Routinely Purchased Items ,Purchased New, $29.69 
E0161,Sitz bath/equipment w/faucet,Inexpensive and Other Routinely Purchased Items ,Purchased New, $23.94 
E0162,Sitz bath chair,Inexpensive and Other Routinely Purchased Items ,Purchased New, $154.73 
E0163,Commode chair with fixed arm,Inexpensive and Other Routinely Purchased Items ,Purchased New, $51.57 
E0165,Commode chair with detacharm,Capped Rental Items ,Rented, $12.20 
E0167,Commode chair pail or pan,Inexpensive and Other Routinely Purchased Items ,Purchased New, $10.52 
E0168,Heavyduty/wide commode chair,Inexpensive and Other Routinely Purchased Items ,Purchased New, $114.35 
E0170,Commode chair electric,Capped Rental Items ,Rented, $159.82 
E0171,Commode chair non-electric,Capped Rental Items ,Rented, $29.92 
E0175,Commode chair foot rest,Inexpensive and Other Routinely Purchased Items ,Purchased New, $70.61 
E0181,Press pad alternating w/ pum,Capped Rental Items ,Rented, $15.61 
E0182,"Replace pump, alt press pad",Capped Rental Items ,Rented, $20.79 
E0184,Dry pressure mattress,Inexpensive and Other Routinely Purchased Items ,Purchased New, $155.36 
E0185,Gel pressure mattress pad,Inexpensive and Other Routinely Purchased Items ,Purchased New, $165.59 
E0186,Air pressure mattress,Capped Rental Items ,Rented, $19.41 
E0187,Water pressure mattress,Capped Rental Items ,Rented, $22.13 
E0188,Synthetic sheepskin pad,Inexpensive and Other Routinely Purchased Items ,Purchased New, $24.51 
E0189,Lambswool sheepskin pad,Inexpensive and Other Routinely Purchased Items ,Purchased New, $51.32 
E0191,Protector heel or elbow,Inexpensive and Other Routinely Purchased Items ,Purchased New, $10.67 
E0193,Powered air flotation bed,Capped Rental Items ,Rented, $682.82 
E0194,Air fluidized bed,Capped Rental Items ,Rented," $3,467.66 "
E0196,Gel pressure mattress,Capped Rental Items ,Rented, $31.14 
E0197,Air pressure pad for mattres,Capped Rental Items ,Rented, $18.45 
E0198,Water pressure pad for mattr,Capped Rental Items ,Rented, $24.74 
E0199,Dry pressure pad for mattres,Inexpensive and Other Routinely Purchased Items ,Purchased New, $32.80 
E0200,Heat lamp without stand,Inexpensive and Other Routinely Purchased Items ,Purchased New, $87.21 
E0202,Phototherapy light w/ photom,Capped Rental Items ,Rented, $69.77 
E0205,Heat lamp with stand,Inexpensive and Other Routinely Purchased Items ,Purchased New, $203.04 
E0210,Electric heat pad standard,Inexpensive and Other Routinely Purchased Items ,Purchased New, $36.56 
E0215,Electric heat pad moist,Inexpensive and Other Routinely Purchased Items ,Purchased New, $75.80 
E0217,Water circ heat pad w pump,Inexpensive and Other Routinely Purchased Items ,Purchased New, $531.63 
E0225,Hydrocollator unit,Inexpensive and Other Routinely Purchased Items ,Purchased New, $413.71 
E0235,Paraffin bath unit portable,Capped Rental Items ,Rented, $19.24 
E0236,Pump for water circulating p,Capped Rental Items ,Rented, $47.55 
E0239,Hydrocollator unit portable,Inexpensive and Other Routinely Purchased Items ,Purchased New, $520.94 
E0249,Pad water circulating heat u,Inexpensive and Other Routinely Purchased Items ,Purchased New, $107.20 
E0250,Hosp bed fixed ht w/ mattres,Capped Rental Items ,Rented, $59.43 
E0251,Hosp bed fixd ht w/o mattres,Capped Rental Items ,Rented, $55.85 
E0255,Hospital bed var ht w/ mattr,Capped Rental Items ,Rented, $59.86 
E0256,Hospital bed var ht w/o matt,Capped Rental Items ,Rented, $58.10 
E0260,Hosp bed semi-electr w/ matt,Capped Rental Items ,Rented, $59.90 
E0261,Hosp bed semi-electr w/o mat,Capped Rental Items ,Rented, $59.84 
E0265,Hosp bed total electr w/ mat,Capped Rental Items ,Rented, $139.64 
E0266,Hosp bed total elec w/o matt,Capped Rental Items ,Rented, $121.51 
E0271,Mattress innerspring,Inexpensive and Other Routinely Purchased Items ,Purchased New, $120.82 
E0272,Mattress foam rubber,Inexpensive and Other Routinely Purchased Items ,Purchased New, $137.11 
E0275,Bed pan standard,Inexpensive and Other Routinely Purchased Items ,Purchased New, $13.72 
E0276,Bed pan fracture,Inexpensive and Other Routinely Purchased Items ,Purchased New, $11.90 
E0277,Powered pres-redu air mattrs,Capped Rental Items ,Rented, $189.89 
E0280,Bed cradle,Inexpensive and Other Routinely Purchased Items ,Purchased New, $31.15 
E0290,Hosp bed fx ht w/o rails w/m,Capped Rental Items ,Rented, $55.39 
E0291,Hosp bed fx ht w/o rail w/o,Capped Rental Items ,Rented, $43.16 
E0292,Hosp bed var ht no sr w/matt,Capped Rental Items ,Rented, $58.81 
E0293,Hosp bed var ht no sr no mat,Capped Rental Items ,Rented, $54.69 
E0294,Hosp bed semi-elect w/ mattr,Capped Rental Items ,Rented, $59.87 
E0295,Hosp bed semi-elect w/o matt,Capped Rental Items ,Rented, $59.84 
E0296,Hosp bed total elect w/ matt,Capped Rental Items ,Rented, $108.95 
E0297,Hosp bed total elect w/o mat,Capped Rental Items ,Rented, $96.15 
E0300,Enclosed ped crib hosp grade,Capped Rental Items ,Rented, $242.78 
E0301,"Hd hosp bed, 350-600 lbs",Capped Rental Items ,Rented, $157.24 
E0302,Ex hd hosp bed > 600 lbs,Capped Rental Items ,Rented, $460.67 
E0303,Hosp bed hvy dty xtra wide,Capped Rental Items ,Rented, $159.42 
E0304,Hosp bed xtra hvy dty x wide,Capped Rental Items ,Rented, $472.43 
E0305,Rails bed side half length,Capped Rental Items ,Rented, $10.67 
E0310,Rails bed side full length,Inexpensive and Other Routinely Purchased Items ,Purchased New, $109.35 
E0316,Bed safety enclosure,Capped Rental Items ,Rented, $173.92 
E0325,Urinal male jug-type,Inexpensive and Other Routinely Purchased Items ,Purchased New, $8.91 
E0326,Urinal female jug-type,Inexpensive and Other Routinely Purchased Items ,Purchased New, $9.58 
E0371,Nonpower mattress overlay,Capped Rental Items ,Rented, $189.67 
E0372,Powered air mattress overlay,Capped Rental Items ,Rented, $189.89 
E0373,Nonpowered pressure mattress,Capped Rental Items ,Rented, $189.89 
E0424,Stationary compressed gas 02,Oxygen and Oxygen Equipment,Rented, $69.90 
E0431,Portable gaseous 02,Oxygen and Oxygen Equipment,Rented, $17.43 
E0433,Portable liquid oxygen sys,Oxygen and Oxygen Equipment,Rented, $38.39 
E0434,Portable liquid 02,Oxygen and Oxygen Equipment,Rented, $17.43 
E0439,Stationary liquid 02,Oxygen and Oxygen Equipment,Rented, $69.90 
E0441,"Stationary o2 contents, gas",Oxygen and Oxygen Equipment,, $53.10 
E0442,"Stationary o2 contents, liq",Oxygen and Oxygen Equipment,, $53.10 
E0443,"Portable 02 contents, gas",Oxygen and Oxygen Equipment,, $48.20 
E0444,"Portable 02 contents, liquid",Oxygen and Oxygen Equipment,, $48.20 
E0462,Rocking bed w/ or w/o side r,Capped Rental Items ,Rented, $312.64 
E0465,Home vent invasive interface,Frequently Serviced Items ,Rented," $1,033.30 "
E0466,Home vent non-invasive inter,Frequently Serviced Items ,Rented," $1,033.30 "
E0470,Rad w/o backup non-inv intfc,Capped Rental Items ,Rented, $105.51 
E0471,Rad w/backup non inv intrfc,Capped Rental Items ,Rented, $262.84 
E0472,Rad w backup invasive intrfc,Capped Rental Items ,Rented, $395.54 
E0480,Percussor elect/pneum home m,Capped Rental Items ,Rented, $46.93 
E0482,Cough stimulating device,Capped Rental Items ,Rented, $473.69 
E0483,Chest compression gen system,Capped Rental Items ,Rented," $1,201.07 "
E0484,Non-elec oscillatory pep dvc,Inexpensive and Other Routinely Purchased Items ,Purchased New, $41.73 
E0485,Oral device/appliance prefab,Inexpensive and Other Routinely Purchased Items ,Purchased New,  $-   
E0486,Oral device/appliance cusfab,Inexpensive and Other Routinely Purchased Items ,Purchased New,  $-   
E0500,Ippb all types,Frequently Serviced Items ,Rented, $118.64 
E0550,Humidif extens supple w ippb,Capped Rental Items ,Rented, $54.49 
E0560,Humidifier supplemental w/ i,Inexpensive and Other Routinely Purchased Items ,Purchased New, $156.98 
E0561,Humidifier nonheated w pap,Inexpensive and Other Routinely Purchased Items ,Purchased New, $70.98 
E0562,Humidifier heated used w pap,Inexpensive and Other Routinely Purchased Items ,Purchased New, $135.26 
E0565,Compressor air power source,Capped Rental Items ,Rented, $41.09 
E0570,Nebulizer with compression,Capped Rental Items ,Rented, $5.68 
E0572,Aerosol compressor adjust pr,Capped Rental Items ,Rented, $28.33 
E0574,Ultrasonic generator w svneb,Capped Rental Items ,Rented, $44.47 
E0575,Nebulizer ultrasonic,Capped Rental Items ,Rented, $110.66 
E0580,Nebulizer for use w/ regulat,Inexpensive and Other Routinely Purchased Items ,Purchased New, $126.72 
E0585,Nebulizer w/ compressor & he,Capped Rental Items ,Rented, $27.82 
E0600,Suction pump portab hom modl,Capped Rental Items ,Rented, $49.75 
E0601,Cont airway pressure device,Capped Rental Items ,Rented, $40.25 
E0602,Manual breast pump,Inexpensive and Other Routinely Purchased Items ,Purchased New, $33.35 
E0605,Vaporizer room type,Inexpensive and Other Routinely Purchased Items ,Purchased New, $30.55 
E0606,Drainage board postural,Capped Rental Items ,Rented, $24.58 
E0607,Blood glucose monitor home,Inexpensive and Other Routinely Purchased Items ,Purchased New, $75.80 
E0610,Pacemaker monitr audible/vis,Inexpensive and Other Routinely Purchased Items ,Purchased New, $270.93 
E0615,Pacemaker monitr digital/vis,Inexpensive and Other Routinely Purchased Items ,Purchased New, $515.58 
E0617,Automatic ext defibrillator,Capped Rental Items ,Rented, $343.48 
E0618,Apnea monitor,Capped Rental Items ,Rented, $302.78 
E0619,Apnea monitor w recorder,Capped Rental Items ,Rented,  $-   
E0620,Cap bld skin piercing laser,Capped Rental Items ,Rented, $98.77 
E0621,Patient lift sling or seat,Inexpensive and Other Routinely Purchased Items ,Purchased New, $82.02 
E0627,"Seat lift mech, electric any",Inexpensive and Other Routinely Purchased Items ,Purchased New, $258.03 
E0629,"Seat lift mech, non-electric",Inexpensive and Other Routinely Purchased Items ,Purchased New, $255.65 
E0630,Patient lift hydraulic,Capped Rental Items ,Rented, $57.46 
E0635,Patient lift electric,Capped Rental Items ,Rented, $116.37 
E0636,Pt support & positioning sys,Capped Rental Items ,Rented, $974.17 
E0639,Moveable patient lift system,Capped Rental Items ,Rented, $120.75 
E0640,Fixed patient lift system,Capped Rental Items ,Rented, $120.75 
E0650,Pneuma compresor non-segment,Inexpensive and Other Routinely Purchased Items ,Purchased New, $782.72 
E0651,Pneum compressor segmental,Inexpensive and Other Routinely Purchased Items ,Purchased New, $978.13 
E0652,Pneum compres w/cal pressure,Inexpensive and Other Routinely Purchased Items ,Purchased New," $5,802.88 "
E0655,Pneumatic appliance half arm,Inexpensive and Other Routinely Purchased Items ,Purchased New, $116.59 
E0656,Segmental pneumatic trunk,Capped Rental Items ,Rented, $65.29 
E0657,Segmental pneumatic chest,Capped Rental Items ,Rented, $61.32 
E0660,Pneumatic appliance full leg,Inexpensive and Other Routinely Purchased Items ,Purchased New, $172.81 
E0665,Pneumatic appliance full arm,Inexpensive and Other Routinely Purchased Items ,Purchased New, $146.96 
E0666,Pneumatic appliance half leg,Inexpensive and Other Routinely Purchased Items ,Purchased New, $147.67 
E0667,Seg pneumatic appl full leg,Inexpensive and Other Routinely Purchased Items ,Purchased New, $365.34 
E0668,Seg pneumatic appl full arm,Inexpensive and Other Routinely Purchased Items ,Purchased New, $471.46 
E0669,Seg pneumatic appli half leg,Inexpensive and Other Routinely Purchased Items ,Purchased New, $204.16 
E0670,Seg pneum int legs/trunk,Inexpensive and Other Routinely Purchased Items ,Purchased New," $1,381.57 "
E0671,Pressure pneum appl full leg,Inexpensive and Other Routinely Purchased Items ,Purchased New, $470.04 
E0672,Pressure pneum appl full arm,Inexpensive and Other Routinely Purchased Items ,Purchased New, $365.21 
E0673,Pressure pneum appl half leg,Inexpensive and Other Routinely Purchased Items ,Purchased New, $303.47 
E0675,Pneumatic compression device,Capped Rental Items ,Rented, $432.81 
E0691,Uvl pnl 2 sq ft or less,Inexpensive and Other Routinely Purchased Items ,Purchased New," $1,015.17 "
E0692,Uvl sys panel 4 ft,Inexpensive and Other Routinely Purchased Items ,Purchased New," $1,274.78 "
E0693,Uvl sys panel 6 ft,Inexpensive and Other Routinely Purchased Items ,Purchased New," $1,571.44 "
E0694,Uvl md cabinet sys 6 ft,Inexpensive and Other Routinely Purchased Items ,Purchased New," $5,001.74 "
E0705,Transfer device,Inexpensive and Other Routinely Purchased Items ,Purchased New, $45.19 
E0720,Tens two lead,Transcutaneous Electrical Nerve Stimulators TS— Therapeutic Shoes ,Purchased New, $64.99 
E0730,Tens four lead,Transcutaneous Electrical Nerve Stimulators TS— Therapeutic Shoes ,Purchased New, $65.46 
E0731,Conductive garment for tens/,Inexpensive and Other Routinely Purchased Items ,Purchased New, $81.08 
E0740,Non-implant pelv flr e-stim,Capped Rental Items ,Rented, $59.08 
E0744,Neuromuscular stim for scoli,Capped Rental Items ,Rented, $98.81 
E0745,Neuromuscular stim for shock,Capped Rental Items ,Rented, $94.78 
E0747,Elec osteogen stim not spine,Inexpensive and Other Routinely Purchased Items ,Purchased New," $4,245.36 "
E0748,Elec osteogen stim spinal,Inexpensive and Other Routinely Purchased Items ,Purchased New," $4,402.92 "
E0749,Elec osteogen stim implanted,Capped Rental Items ,Rented, $280.66 
E0760,Osteogen ultrasound stimltor,Inexpensive and Other Routinely Purchased Items ,Purchased New," $3,652.57 "
E0762,Trans elec jt stim dev sys,Capped Rental Items ,Rented, $116.97 
E0764,Functional neuromuscularstim,Capped Rental Items ,Rented," $1,250.24 "
E0765,Nerve stimulator for tx n&v,Inexpensive and Other Routinely Purchased Items ,Purchased New, $95.05 
E0776,Iv pole,Inexpensive and Other Routinely Purchased Items ,Purchased New, $139.06 
E0779,Amb infusion pump mechanical,Capped Rental Items ,Rented, $17.99 
E0780,Mech amb infusion pump <8hrs,Inexpensive and Other Routinely Purchased Items ,Purchased New, $11.55 
E0781,External ambulatory infus pu,Capped Rental Items ,Rented, $235.66 
E0782,Non-programble infusion pump,Inexpensive and Other Routinely Purchased Items ,Purchased New," $4,181.09 "
E0783,Programmable infusion pump,Inexpensive and Other Routinely Purchased Items ,Purchased New," $8,264.12 "
E0784,Ext amb infusn pump insulin,Capped Rental Items ,Rented, $424.92 
E0785,Replacement impl pump cathet,Inexpensive and Other Routinely Purchased Items ,Class III device , $472.56 
E0786,Implantable pump replacement,Inexpensive and Other Routinely Purchased Items ,Purchased New," $8,170.00 "
E0791,Parenteral infusion pump sta,Capped Rental Items ,Rented, $278.89 
E0840,Tract frame attach headboard,Inexpensive and Other Routinely Purchased Items ,Purchased New, $80.17 
E0849,Cervical pneum trac equip,Capped Rental Items ,Rented, $58.23 
E0850,Traction stand free standing,Inexpensive and Other Routinely Purchased Items ,Purchased New, $111.13 
E0855,Cervical traction equipment,Capped Rental Items ,Rented, $56.47 
E0856,Cervic collar w air bladders,Capped Rental Items ,Rented, $17.39 
E0860,Tract equip cervical tract,Inexpensive and Other Routinely Purchased Items ,Purchased New, $41.31 
E0870,Tract frame attach footboard,Inexpensive and Other Routinely Purchased Items ,Purchased New, $122.37 
E0880,Trac stand free stand extrem,Inexpensive and Other Routinely Purchased Items ,Purchased New, $131.36 
E0890,Traction frame attach pelvic,Inexpensive and Other Routinely Purchased Items ,Purchased New, $127.08 
E0900,Trac stand free stand pelvic,Inexpensive and Other Routinely Purchased Items ,Purchased New, $136.71 
E0910,Trapeze bar attached to bed,Capped Rental Items ,Rented, $10.84 
E0911,Hd trapeze bar attach to bed,Capped Rental Items ,Rented, $41.13 
E0912,Hd trapeze bar free standing,Capped Rental Items ,Rented, $80.47 
E0920,Fracture frame attached to b,Capped Rental Items ,Rented, $49.47 
E0930,Fracture frame free standing,Capped Rental Items ,Rented, $48.57 
E0935,Cont pas motion exercise dev,Frequently Serviced Items ,Rented, $23.98 
E0940,Trapeze bar free standing,Capped Rental Items ,Rented, $20.80 
E0941,Gravity assisted traction de,Capped Rental Items ,Rented, $47.35 
E0942,Cervical head harness/halter,Inexpensive and Other Routinely Purchased Items ,Purchased New, $21.19 
E0944,Pelvic belt/harness/boot,Inexpensive and Other Routinely Purchased Items ,Purchased New, $48.42 
E0945,Belt/harness extremity,Inexpensive and Other Routinely Purchased Items ,Purchased New, $47.25 
E0946,Fracture frame dual w cross,Capped Rental Items ,Rented, $62.54 
E0947,Fracture frame attachmnts pe,Inexpensive and Other Routinely Purchased Items ,Purchased New, $645.48 
E0948,Fracture frame attachmnts ce,Inexpensive and Other Routinely Purchased Items ,Purchased New, $632.91 
E0950,Tray,Inexpensive and Other Routinely Purchased Items ,Purchased New, $73.28 
E0951,Loop heel,Inexpensive and Other Routinely Purchased Items ,Purchased New, $12.63 
E0952,"Toe loop/holder, each",Inexpensive and Other Routinely Purchased Items ,Purchased New, $15.69 
E0953,W/c lateral thigh/knee sup,Inexpensive and Other Routinely Purchased Items ,Purchased New, $73.57 
E0954,"Foot box, any type each foot",Inexpensive and Other Routinely Purchased Items ,Purchased New, $50.70 
E0955,Cushioned headrest,Capped Rental Items ,Rented, $13.95 
E0956,W/c lateral trunk/hip suppor,Inexpensive and Other Routinely Purchased Items ,Purchased New, $73.57 
E0957,W/c medial thigh support,Inexpensive and Other Routinely Purchased Items ,Purchased New, $116.09 
E0958,Whlchr att- conv 1 arm drive,Capped Rental Items ,Rented, $40.26 
E0959,Amputee adapter,Inexpensive and Other Routinely Purchased Items ,Purchased New, $42.73 
E0960,W/c shoulder harness/straps,Inexpensive and Other Routinely Purchased Items ,Purchased New, $70.57 
E0961,Wheelchair brake extension,Inexpensive and Other Routinely Purchased Items ,Purchased New, $19.43 
E0966,Wheelchair head rest extensi,Inexpensive and Other Routinely Purchased Items ,Purchased New, $68.54 
E0967,Man wc rim/projection rep ea,Inexpensive and Other Routinely Purchased Items ,Purchased New, $69.73 
E0968,Wheelchair commode seat,Capped Rental Items ,Rented, $19.53 
E0969,Wheelchair narrowing device,Inexpensive and Other Routinely Purchased Items ,Purchased New, $171.75 
E0971,Wheelchair anti-tipping devi,Inexpensive and Other Routinely Purchased Items ,Purchased New, $29.09 
E0973,W/ch access det adj armrest,Inexpensive and Other Routinely Purchased Items ,Purchased New, $52.08 
E0974,W/ch access anti-rollback,Inexpensive and Other Routinely Purchased Items ,Purchased New, $68.89 
E0978,"W/c acc,saf belt pelv strap",Inexpensive and Other Routinely Purchased Items ,Purchased New, $23.54 
E0980,Wheelchair safety vest,Inexpensive and Other Routinely Purchased Items ,Purchased New, $35.25 
E0981,"Seat upholstery, replacement",Inexpensive and Other Routinely Purchased Items ,Purchased New, $39.37 
E0982,"Back upholstery, replacement",Inexpensive and Other Routinely Purchased Items ,Purchased New, $43.33 
E0983,Add pwr joystick,Capped Rental Items ,Rented, $275.36 
E0984,Add pwr tiller,Capped Rental Items ,Rented, $203.08 
E0985,W/c seat lift mechanism,Capped Rental Items ,Rented, $20.73 
E0986,Man w/c push-rim powr system,Capped Rental Items ,Rented, $549.55 
E0988,Lever-activated wheel drive,Capped Rental Items ,Rented, $331.57 
E0990,Wheelchair elevating leg res,Inexpensive and Other Routinely Purchased Items ,Purchased New, $67.56 
E0992,Wheelchair solid seat insert,Inexpensive and Other Routinely Purchased Items ,Purchased New, $77.60 
E0994,Wheelchair arm rest,Inexpensive and Other Routinely Purchased Items ,Purchased New, $19.34 
E0995,"Wc calf rest, pad replacemnt",Inexpensive and Other Routinely Purchased Items ,Purchased New, $25.25 
E1002,Pwr seat tilt,Capped Rental Items ,Rented, $351.70 
E1003,Pwr seat recline,Capped Rental Items ,Rented, $411.66 
E1004,Pwr seat recline mech,Capped Rental Items ,Rented, $452.47 
E1005,Pwr seat recline pwr,Capped Rental Items ,Rented, $494.97 
E1006,Pwr seat combo w/o shear,Capped Rental Items ,Rented, $610.28 
E1007,Pwr seat combo w/shear,Capped Rental Items ,Rented, $757.54 
E1008,Pwr seat combo pwr shear,Capped Rental Items ,Rented, $777.02 
E1009,Add mech leg elevation,Inexpensive and Other Routinely Purchased Items ,Purchased New,  $-   
E1010,Add pwr leg elevation,Capped Rental Items ,Rented, $105.59 
E1011,Ped wc modify width adjustm,Inexpensive and Other Routinely Purchased Items ,Purchased New,  $-   
E1012,Ctr mount pwr elev leg rest,Capped Rental Items ,Rented, $105.59 
E1014,Reclining back add ped w/c,Capped Rental Items ,Rented, $41.26 
E1015,Shock absorber for man w/c,Inexpensive and Other Routinely Purchased Items ,Purchased New, $114.73 
E1016,Shock absorber for power w/c,Inexpensive and Other Routinely Purchased Items ,Purchased New, $108.13 
E1017,Hd shck absrbr for hd man wc,Inexpensive and Other Routinely Purchased Items ,Purchased New,  $-   
E1018,Hd shck absrber for hd powwc,Inexpensive and Other Routinely Purchased Items ,Purchased New,  $-   
E1020,Residual limb support system,Capped Rental Items ,Rented, $17.28 
E1028,W/c manual swingaway,Capped Rental Items ,Rented, $12.95 
E1029,W/c vent tray fixed,Capped Rental Items ,Rented, $35.58 
E1030,W/c vent tray gimbaled,Capped Rental Items ,Rented, $111.12 
E1031,Rollabout chair with casters,Capped Rental Items ,Rented, $41.07 
E1035,Patient transfer system <300,Capped Rental Items ,Rented, $567.85 
E1036,Patient transfer system >300,Capped Rental Items ,Rented, $826.19 
E1037,"Transport chair, ped size",Capped Rental Items ,Rented, $103.81 
E1038,Transport chair pt wt<=300lb,Capped Rental Items ,Rented, $14.12 
E1039,Transport chair pt wt >300lb,Capped Rental Items ,Rented, $31.88 
E1050,Whelchr fxd full length arms,Capped Rental Items ,Rented, $112.13 
E1060,Wheelchair detachable arms,Capped Rental Items ,Rented, $135.03 
E1070,Wheelchair detachable foot r,Capped Rental Items ,Rented, $118.86 
E1083,Hemi-wheelchair fixed arms,Capped Rental Items ,Rented, $83.42 
E1084,Hemi-wheelchair detachable a,Capped Rental Items ,Rented, $106.16 
E1087,Wheelchair lightwt fixed arm,Capped Rental Items ,Rented, $138.07 
E1088,Wheelchair lightweight det a,Capped Rental Items ,Rented, $161.38 
E1092,Wheelchair wide w/ leg rests,Capped Rental Items ,Rented, $137.23 
E1093,Wheelchair wide w/ foot rest,Capped Rental Items ,Rented, $119.01 
E1100,Whchr s-recl fxd arm leg res,Capped Rental Items ,Rented, $111.56 
E1110,Wheelchair semi-recl detach,Capped Rental Items ,Rented, $108.87 
E1150,Wheelchair standard w/ leg r,Capped Rental Items ,Rented, $87.77 
E1160,Wheelchair fixed arms,Capped Rental Items ,Rented, $67.86 
E1161,Manual adult wc w tiltinspac,Capped Rental Items ,Rented, $267.30 
E1170,Whlchr ampu fxd arm leg rest,Capped Rental Items ,Rented, $95.23 
E1171,Wheelchair amputee w/o leg r,Capped Rental Items ,Rented, $86.65 
E1172,Wheelchair amputee detach ar,Capped Rental Items ,Rented, $105.37 
E1180,Wheelchair amputee w/ foot r,Capped Rental Items ,Rented, $108.34 
E1190,Wheelchair amputee w/ leg re,Capped Rental Items ,Rented, $124.49 
E1195,Wheelchair amputee heavy dut,Capped Rental Items ,Rented, $134.01 
E1200,Wheelchair amputee fixed arm,Capped Rental Items ,Rented, $93.74 
E1221,Wheelchair spec size w foot,Capped Rental Items ,Rented, $50.97 
E1222,Wheelchair spec size w/ leg,Capped Rental Items ,Rented, $74.42 
E1223,Wheelchair spec size w foot,Capped Rental Items ,Rented, $79.48 
E1224,Wheelchair spec size w/ leg,Capped Rental Items ,Rented, $86.53 
E1225,Manual semi-reclining back,Capped Rental Items ,Rented, $36.41 
E1226,Manual fully reclining back,Inexpensive and Other Routinely Purchased Items ,Purchased New, $364.46 
E1227,Wheelchair spec sz spec ht a,Inexpensive and Other Routinely Purchased Items ,Purchased New, $289.58 
E1228,Wheelchair spec sz spec ht b,Capped Rental Items ,Rented, $29.49 
E1230,Power operated vehicle,Inexpensive and Other Routinely Purchased Items ,Purchased New," $2,417.17 "
E1231,Rigid ped w/c tilt-in-space,Inexpensive and Other Routinely Purchased Items ,Purchased New,  $-   
E1232,Folding ped wc tilt-in-space,Capped Rental Items ,Rented, $241.60 
E1233,Rig ped wc tltnspc w/o seat,Capped Rental Items ,Rented, $250.31 
