NDC Description,NDC, NADAC_Per_Unit ,Effective_Date,Pricing_Unit,OTC,Brand/Generic,As of Date,High Cost
C-NATE DHA SOFTGEL,23359010530, $2.00 ,12/21/16,EA,N,G,6/7/17,Low
COARTEM TABLETS,78056845, $4.96 ,7/12/16,EA,N,B,6/7/17,High
CODEINE SULFATE 15 MG TABLET,54024324, $0.36 ,2/22/17,EA,N,G,6/7/17,Low
CODEINE SULFATE 30 MG TABLET,527169801, $0.38 ,5/17/17,EA,N,G,6/7/17,Low
CODEINE SULFATE 60 MG TABLET,54024525, $0.65 ,1/18/17,EA,N,G,6/7/17,Low
CODEINE-GUAIFEN 10-100 MG/5 ML,58657050004, $0.07 ,5/17/17,ML,Y,G,6/7/17,Low
COLACE 100 MG CAPSULE,67618010160, $0.27 ,2/22/17,EA,Y,B,6/7/17,Low
COLACE CLEAR 50 MG SOFTGEL,67618011128, $0.25 ,5/10/17,EA,Y,B,6/7/17,Low
COLACE-T 100 MG CAPSULE,67618010110, $0.27 ,2/22/17,EA,Y,B,6/7/17,Low
COLCHICINE 0.6 MG CAPSULE,143301801, $4.22 ,5/17/17,EA,N,G,6/7/17,Low
COLCHICINE 0.6 MG TABLET,66993016502, $4.97 ,5/17/17,EA,N,G,6/7/17,High
COLCRYS 0.6 MG TABLET,64764011901, $6.52 ,2/22/17,EA,N,B,6/7/17,High
COLD & ALLERGY ELIXIR,37205093126, $0.01 ,5/17/17,ML,Y,G,6/7/17,Low
COLD & COUGH ELIXIR,24385051926, $0.02 ,5/17/17,ML,Y,G,6/7/17,Low
COLD HEAD CONGESTION CAPLET,113023462, $0.13 ,4/19/17,EA,Y,G,6/7/17,Low
COLD MULTI-SYMPTOM CAPLET,24385096260, $0.14 ,4/19/17,EA,Y,G,6/7/17,Low
COLD MULTI-SYMPTOM SEVERE CPLT,36800030862, $0.13 ,4/19/17,EA,Y,G,6/7/17,Low
COLD RELIEF HEAD CONGEST CPLT,24385096360, $0.14 ,4/19/17,EA,Y,G,6/7/17,Low
COLD RELIEF MULTI-SYMPTOM CPLT,46122007262, $0.13 ,4/19/17,EA,Y,G,6/7/17,Low
COLD RLF HEAD CONGESTION CPLT,46122012662, $0.13 ,4/19/17,EA,Y,G,6/7/17,Low
COLD-ALLERGY TABLET,46122018162, $0.15 ,5/17/17,EA,Y,G,6/7/17,Low
COLESTID 1 GM TABLET,9045003, $1.82 ,6/1/17,EA,N,B,6/7/17,Low
COLESTID GRANULES PACKET,9026001, $6.02 ,6/1/17,EA,N,B,6/7/17,High
COLESTIPOL HCL 1 GM TABLET,115521116, $0.83 ,5/17/17,EA,N,G,6/7/17,Low
COLESTIPOL HCL GRANULES PACKET,115521229, $2.93 ,3/22/17,EA,N,G,6/7/17,Low
COLESTIPOL MICRONIZED 1 GM TAB,59762045001, $0.83 ,5/17/17,EA,N,G,6/7/17,Low
COLOCORT 100 MG ENEMA,574202007, $0.09 ,5/17/17,ML,N,G,6/7/17,Low
COLY-MYCIN S OTIC SUSP DROP,63481042105, $18.41 ,2/22/17,ML,N,B,6/7/17,High
COMBIGAN 0.2%-0.5% EYE DROPS,23921105, $28.31 ,2/22/17,ML,N,B,6/7/17,High
COMBIPATCH 0.05-0.14 MG PTCH,68968051408, $18.95 ,2/22/17,EA,N,B,6/7/17,High
COMBIPATCH 0.05-0.25 MG PTCH,68968052508, $19.01 ,2/22/17,EA,N,B,6/7/17,High
COMBIVENT RESPIMAT INHAL SPRAY,597002402, $82.90 ,2/22/17,GM,N,B,6/7/17,High
COMBIVIR TABLET,49702020229, $14.39 ,10/19/16,EA,N,B,6/7/17,High
COMPLERA TABLET,61958110101, $80.72 ,4/26/17,EA,N,B,6/7/17,High
COMPLETE ALLERGY 12.5 MG/5 ML,37205056526, $0.01 ,5/17/17,ML,Y,G,6/7/17,Low
COMPLETE NATAL DHA,13811001030, $0.32 ,2/22/17,EA,N,G,6/7/17,Low
COMPLETE TABLET CHEW,113032163, $0.23 ,3/22/17,EA,Y,G,6/7/17,Low
COMPRO 25 MG SUPPOSITORY,574722612, $7.40 ,5/17/17,EA,N,G,6/7/17,High
COMTAN 200 MG TABLET,78032705, $6.73 ,1/4/17,EA,N,B,6/7/17,High
CONCEPT DHA CAPSULE,52747062130, $0.99 ,12/21/16,EA,N,B,6/7/17,Low
CONCERTA ER 18 MG TABLET,50458058501, $9.57 ,3/22/17,EA,N,B,6/7/17,High
CONCERTA ER 27 MG TABLET,50458058801, $9.82 ,2/22/17,EA,N,B,6/7/17,High
CONCERTA ER 36 MG TABLET,50458058601, $10.21 ,3/22/17,EA,N,B,6/7/17,High
CONCERTA ER 54 MG TABLET,50458058701, $10.97 ,3/22/17,EA,N,B,6/7/17,High
CONDYLOX 0.5% GEL,52544004513, $150.95 ,2/22/17,GM,N,B,6/7/17,High
CONGESTAC TABLET,225058008, $0.40 ,3/22/17,EA,Y,G,6/7/17,Low
CONSTULOSE 10 GM/15 ML SOLN,45963043963, $0.02 ,2/22/17,ML,N,G,6/7/17,Low
CONTRAVE ER 8-90 MG TABLET,51267089099, $1.95 ,5/1/17,EA,N,B,6/7/17,Low
COPAXONE 20 MG/ML SYRINGE,68546031730, $228.37 ,4/19/17,ML,N,B,6/7/17,High
COPAXONE 40 MG/ML SYRINGE,68546032512, $468.21 ,2/22/17,ML,N,B,6/7/17,High
COREG 12.5 MG TABLET,7414120, $4.42 ,1/1/17,EA,N,B,6/7/17,Low
COREG 25 MG TABLET,7414220, $4.39 ,1/1/17,EA,N,B,6/7/17,Low
COREG 3.125 MG TABLET,7413920, $4.46 ,1/1/17,EA,N,B,6/7/17,Low
COREG 6.25 MG TABLET,7414020, $4.38 ,1/1/17,EA,N,B,6/7/17,Low
COREG CR 10 MG CAPSULE,7337013, $8.82 ,2/22/17,EA,N,B,6/7/17,High
COREG CR 20 MG CAPSULE,7337113, $8.81 ,2/22/17,EA,N,B,6/7/17,High
COREG CR 40 MG CAPSULE,7337213, $8.80 ,2/22/17,EA,N,B,6/7/17,High
COREG CR 80 MG CAPSULE,7337313, $8.83 ,2/22/17,EA,N,B,6/7/17,High
CORLANOR 5 MG TABLET,55513080060, $6.86 ,5/17/17,EA,N,B,6/7/17,High
CORLANOR 7.5 MG TABLET,55513081080, $6.92 ,4/19/17,EA,N,B,6/7/17,High
CORTEF 10 MG TABLET,9003101, $1.47 ,6/1/17,EA,N,B,6/7/17,Low
CORTEF 5 MG TABLET,9001201, $0.87 ,6/1/17,EA,N,B,6/7/17,Low
CORTIFOAM 10% AEROSOL,37683015, $23.52 ,1/18/17,GM,N,B,6/7/17,High
CORTISPORIN CREAM,61570003275, $13.81 ,6/1/17,GM,N,B,6/7/17,High
CORTISPORIN OINTMENT,61570003150, $9.28 ,6/1/17,GM,N,B,6/7/17,High
CORTISPORIN-TC EAR SUSPENSION,42023010901, $18.41 ,2/22/17,ML,N,B,6/7/17,High
COSOPT EYE DROPS,17478060510, $18.18 ,12/21/16,ML,N,B,6/7/17,High
COSOPT PF EYE DROPS,17478060430, $2.40 ,5/17/17,EA,N,B,6/7/17,Low
COUGH & COLD TABLET,904581744, $0.09 ,5/17/17,EA,Y,G,6/7/17,Low
COUGH DM ER 30 MG/5 ML SUSP,46122014121, $0.06 ,5/17/17,ML,Y,G,6/7/17,Low
COUGH RELIEF LIQUID,24385026226, $0.02 ,5/17/17,ML,Y,G,6/7/17,Low
COUGH SYRUP,536097097, $0.01 ,5/17/17,ML,Y,G,6/7/17,Low
COUGH SYRUP 100 MG/5 ML,536082597, $0.01 ,5/17/17,ML,Y,G,6/7/17,Low
COUGH SYRUP 200 MG/10 ML,536109597, $0.01 ,5/17/17,ML,Y,G,6/7/17,Low
COUGHTAB 200 MG TABLET,37205046672, $0.04 ,5/17/17,EA,Y,G,6/7/17,Low
COUGHTAB 400 MG TABLET,15127015150, $0.07 ,5/17/17,EA,Y,G,6/7/17,Low
COUMADIN 1 MG TABLET,56016901, $1.92 ,3/22/17,EA,N,B,6/7/17,Low
COUMADIN 10 MG TABLET,56017470, $2.99 ,1/1/17,EA,N,B,6/7/17,Low
COUMADIN 2 MG TABLET,56017075, $2.00 ,5/17/17,EA,N,B,6/7/17,Low
COUMADIN 2.5 MG TABLET,56017675, $2.06 ,2/22/17,EA,N,B,6/7/17,Low
COUMADIN 3 MG TABLET,56018801, $2.10 ,1/1/17,EA,N,B,6/7/17,Low
COUMADIN 4 MG TABLET,56016801, $2.08 ,2/22/17,EA,N,B,6/7/17,Low
COUMADIN 5 MG TABLET,56017201, $2.15 ,3/22/17,EA,N,B,6/7/17,Low
COUMADIN 6 MG TABLET,56018975, $2.81 ,1/1/17,EA,N,B,6/7/17,Low
COUMADIN 7.5 MG TABLET,56017370, $2.90 ,1/1/17,EA,N,B,6/7/17,Low
COZAAR 100 MG TABLET,6096031, $4.59 ,6/23/16,EA,N,B,6/7/17,Low
COZAAR 50 MG TABLET,6095231, $3.34 ,4/19/17,EA,N,B,6/7/17,Low
"CREON DR 12,000 UNITS CAPSULE",32121207, $2.65 ,2/22/17,EA,N,B,6/7/17,Low
"CREON DR 24,000 UNITS CAPSULE",32122401, $5.20 ,12/26/16,EA,N,B,6/7/17,High
"CREON DR 3,000 UNITS CAPSULE",32120370, $1.10 ,5/17/17,EA,N,B,6/7/17,Low
"CREON DR 36,000 UNITS CAPSULE",32301628, $7.96 ,2/22/17,EA,N,B,6/7/17,High
"CREON DR 6,000 UNITS CAPSULE",32120601, $1.32 ,12/26/16,EA,N,B,6/7/17,Low
CRESEMBA 186 MG CAPSULE,469032014, $76.17 ,1/4/17,EA,N,B,6/7/17,High
CRESTOR 10 MG TABLET,310075190, $8.34 ,4/19/17,EA,N,B,6/7/17,High
CRESTOR 20 MG TABLET,310075290, $8.35 ,2/22/17,EA,N,B,6/7/17,High
CRESTOR 40 MG TABLET,310075430, $8.34 ,2/22/17,EA,N,B,6/7/17,High
CRESTOR 5 MG TABLET,310075590, $8.36 ,2/22/17,EA,N,B,6/7/17,High
CRINONE 8% GEL,52544025612, $22.15 ,1/1/17,GM,N,B,6/7/17,High
CROMOLYN 100 MG/5 ML ORAL CONC,51525047096, $0.78 ,5/17/17,ML,N,G,6/7/17,Low
CROMOLYN 20 MG/2 ML NEB SOLN,172640649, $1.53 ,4/19/17,ML,N,G,6/7/17,Low
CROMOLYN 4% EYE DROPS,17478029111, $0.51 ,5/17/17,ML,N,G,6/7/17,Low
CROMOLYN SODIUM NASAL SOLUTION,904553267, $0.27 ,5/17/17,ML,Y,G,6/7/17,Low
CROMOLYN SODIUM NASAL SPRAY,57782039726, $0.27 ,5/17/17,ML,Y,G,6/7/17,Low
CRYSELLE-28 TABLET,555904958, $0.47 ,5/17/17,EA,N,G,6/7/17,Low
CUVPOSA 1 MG/5 ML SOLUTION,259050116, $1.01 ,3/22/17,ML,N,B,6/7/17,Low
"CYANOCOBALAMIN 1,000 MCG/ML",517003125, $4.33 ,5/17/17,ML,N,G,6/7/17,Low
"CYANOCOBALAMIN 10,000 MCG/10",143962010, $2.24 ,1/18/17,ML,N,G,6/7/17,Low
CYCLAFEM 1-35-28 TABLET,603752149, $0.41 ,5/17/17,EA,N,G,6/7/17,Low
CYCLAFEM 7-7-7-28 TABLET,603752549, $0.60 ,5/17/17,EA,N,G,6/7/17,Low
CYCLOBENZAPRINE 10 MG TABLET,31722028310, $0.02 ,5/17/17,EA,N,G,6/7/17,Low
CYCLOBENZAPRINE 5 MG TABLET,69097084507, $0.04 ,5/17/17,EA,N,G,6/7/17,Low
CYCLOPENTOLATE 1% EYE DROPS,17478010002, $4.49 ,5/17/17,ML,N,G,6/7/17,Low
CYCLOPENTOLATE HCL 2% DROPS,17478009702, $10.30 ,9/21/16,ML,N,G,6/7/17,High
CYCLOPHOSPHAMIDE 50 MG CAPSULE,54038325, $8.80 ,5/17/17,EA,N,G,6/7/17,High
CYCLOSPORINE 100 MG CAPSULE,68084092125, $7.68 ,5/17/17,EA,N,G,6/7/17,High
CYCLOSPORINE 25 MG CAPSULE,68084087995, $1.87 ,5/17/17,EA,N,G,6/7/17,Low
CYCLOSPORINE MODIFIED 100 MG,93574219, $2.27 ,5/17/17,EA,N,G,6/7/17,Low
CYCLOSPORINE MODIFIED 25 MG,93574019, $0.70 ,5/17/17,EA,N,G,6/7/17,Low
CYCLOSPORINE MODIFIED 50 MG,93574119, $1.18 ,5/17/17,EA,N,G,6/7/17,Low
CYMBALTA 30 MG CAPSULE,2324030, $7.03 ,1/18/17,EA,N,B,6/7/17,High
CYMBALTA 60 MG CAPSULE,2327004, $7.00 ,1/18/17,EA,N,B,6/7/17,High
CYPROHEPTADINE 2 MG/5 ML SYRUP,64980050448, $0.08 ,5/17/17,ML,N,G,6/7/17,Low
CYPROHEPTADINE 4 MG TABLET,52817021010, $0.44 ,5/17/17,EA,N,G,6/7/17,Low
CYRED 28 DAY TABLET,50102015401, $0.42 ,5/17/17,EA,N,G,6/7/17,Low
CYTOMEL 25 MCG TABLET,60793011601, $2.21 ,6/1/17,EA,N,B,6/7/17,Low
CYTOMEL 5 MCG TABLET,60793011501, $1.68 ,6/1/17,EA,N,B,6/7/17,Low
CYTOMEL 50 MCG TABLET,60793011701, $3.38 ,6/1/17,EA,N,B,6/7/17,Low
DAKLINZA 60 MG TABLET,3021501, $723.63 ,8/17/16,EA,N,B,6/7/17,High
DALIRESP 500 MCG TABLET,310009530, $10.29 ,5/17/17,EA,N,B,6/7/17,High
D-AMPHETAMINE ER 10 MG CAPSULE,60687014111, $2.18 ,5/31/17,EA,N,G,6/7/17,Low
D-AMPHETAMINE ER 15 MG CAPSULE,60687015011, $2.67 ,5/17/17,EA,N,G,6/7/17,Low
D-AMPHETAMINE ER 5 MG CAPSULE,51862034490, $1.89 ,5/31/17,EA,N,G,6/7/17,Low
DANAZOL 200 MG CAPSULE,555063502, $5.22 ,12/21/16,EA,N,G,6/7/17,High
DANTROLENE SODIUM 100 MG CAP,49884036401, $1.27 ,5/17/17,EA,N,G,6/7/17,Low
DANTROLENE SODIUM 25 MG CAP,49884036201, $0.71 ,3/22/17,EA,N,G,6/7/17,Low
DANTROLENE SODIUM 50 MG CAP,49884036301, $1.00 ,5/17/17,EA,N,G,6/7/17,Low
DAPSONE 100 MG TABLET,47781033431, $2.33 ,5/17/17,EA,N,G,6/7/17,Low
DAPSONE 25 MG TABLET,13925050430, $1.83 ,5/17/17,EA,N,G,6/7/17,Low
DARIFENACIN ER 15 MG TABLET,69097043205, $7.50 ,5/17/17,EA,N,G,6/7/17,High
DARIFENACIN ER 7.5 MG TABLET,591437519, $7.31 ,5/17/17,EA,N,G,6/7/17,High
DASETTA 1-35-28 TABLET,16714034804, $0.41 ,5/17/17,EA,N,G,6/7/17,Low
DASETTA 7/7/7-28 TABLET,16714034604, $0.60 ,5/17/17,EA,N,G,6/7/17,Low
DAY TIME COLD-FLU LIQUID,24385000534, $0.01 ,5/17/17,ML,Y,G,6/7/17,Low
DAY TIME COLD-FLU RLF SOFTGEL,904576344, $0.13 ,5/17/17,EA,Y,G,6/7/17,Low
DAY TIME COLD-FLU SOFTGEL,24385003662, $0.13 ,5/17/17,EA,Y,G,6/7/17,Low
DAYHIST ALLERGY 1.34 MG TABLET,24385018351, $0.27 ,5/17/17,EA,Y,G,6/7/17,Low
DAYPRO 600 MG CAPLET,25138131, $6.98 ,6/1/17,EA,N,B,6/7/17,High
DAYSEE 0.15-0.03-0.01 MG TAB,68180084611, $1.48 ,5/17/17,EA,N,G,6/7/17,Low
DAYTIME COLD-FLU RELIEF SOFTGL,36800021560, $0.13 ,5/17/17,EA,Y,G,6/7/17,Low
DAYTRANA 10 MG/9 HR PATCH,68968555203, $9.67 ,2/22/17,EA,N,B,6/7/17,High
DAYTRANA 15 MG/9 HR PATCH,68968555303, $9.72 ,1/18/17,EA,N,B,6/7/17,High
DAYTRANA 20 MG/9 HOUR PATCH,68968555403, $9.66 ,1/18/17,EA,N,B,6/7/17,High
DAYTRANA 30 MG/9 HOUR PATCH,68968555503, $9.73 ,2/22/17,EA,N,B,6/7/17,High
DEBLITANE 0.35 MG TABLET,16714044001, $0.38 ,5/17/17,EA,N,G,6/7/17,Low
DECONEX DMX TABLET,50991073890, $0.63 ,5/17/17,EA,Y,G,6/7/17,Low
DECONEX IR TABLET,50991073690, $0.61 ,4/19/17,EA,Y,G,6/7/17,Low
DELSYM 30 MG/5 ML SUSPENSION,63824017563, $0.09 ,3/22/17,ML,Y,B,6/7/17,Low
DELSYM COUGH+CHEST CNGST DM LQ,63824021366, $0.05 ,5/17/17,ML,Y,B,6/7/17,Low
DELSYM COUGH+COLD NIGHTTIME LQ,63824021166, $0.05 ,5/17/17,ML,Y,B,6/7/17,Low
DELSYM COUGH-COLD DAYTIME LIQ,63824021566, $0.06 ,5/17/17,ML,Y,B,6/7/17,Low
DELZICOL DR 400 MG CAPSULE,23585318, $3.11 ,2/22/17,EA,N,B,6/7/17,Low
DEMECLOCYCLINE 150 MG TABLET,65162055410, $3.34 ,4/19/17,EA,N,G,6/7/17,Low
DEMECLOCYCLINE 300 MG TABLET,555070284, $6.44 ,1/18/17,EA,N,G,6/7/17,High
DEMEROL 50 MG/ML AMPUL,409125301, $3.50 ,1/1/17,ML,N,B,6/7/17,Low
DENAVIR 1% CREAM,40076062405, $143.08 ,10/19/16,GM,N,B,6/7/17,High
DENTA 5000 PLUS CREAM,64980030550, $0.07 ,5/17/17,GM,N,G,6/7/17,Low
DENTAGEL 1.1% GEL,64980030760, $0.07 ,5/17/17,GM,N,G,6/7/17,Low
DEPAKENE 250 MG/5 ML SOLUTION,74568216, $0.96 ,12/26/16,ML,N,B,6/7/17,Low
DEPAKOTE DR 125 MG SPRINKLE CP,74611413, $1.54 ,12/26/16,EA,N,B,6/7/17,Low
DEPAKOTE DR 125 MG TABLET,74621213, $1.61 ,12/26/16,EA,N,B,6/7/17,Low
DEPAKOTE DR 250 MG TABLET,74621413, $3.13 ,12/26/16,EA,N,B,6/7/17,Low
DEPAKOTE DR 500 MG TABLET,74621553, $5.78 ,1/18/17,EA,N,B,6/7/17,High
DEPAKOTE ER 250 MG TABLET,74382611, $2.89 ,12/26/16,EA,N,B,6/7/17,Low
DEPAKOTE ER 500 MG TABLET,74712613, $5.04 ,5/17/17,EA,N,B,6/7/17,High
DEPO-ESTRADIOL 5 MG/ML VIAL,9027101, $18.55 ,6/1/17,ML,N,B-ANDA,6/7/17,High
DEPO-MEDROL 40 MG/ML VIAL,9307322, $9.30 ,6/1/17,ML,N,B,6/7/17,High
DEPO-MEDROL 80 MG/ML VIAL,9347501, $16.36 ,6/1/17,ML,N,B,6/7/17,High
DEPO-PROVERA 150 MG/ML SYRINGE,9737611, $176.59 ,6/1/17,ML,N,B,6/7/17,High
DEPO-PROVERA 150 MG/ML VIAL,9074630, $187.63 ,6/1/17,ML,N,B,6/7/17,High
DEPO-PROVERA 400 MG/ML VIAL,9062601, $191.32 ,6/1/17,ML,N,B,6/7/17,High
DEPO-SUBQ PROVERA 104 SYRINGE,9470913, $319.29 ,6/1/17,ML,N,B,6/7/17,High
DEPO-TESTOSTERONE 100 MG/ML VL,9034702, $6.13 ,2/22/17,ML,N,B-ANDA,6/7/17,High
DEPO-TESTOSTERONE 200 MG/ML,9041701, $16.75 ,5/17/17,ML,N,B-ANDA,6/7/17,High
DEPO-TESTOSTERONE 200 MG/ML VL,9008601, $16.75 ,5/17/17,ML,N,B-ANDA,6/7/17,High
DERMAL WOUND 0.13% CLEANSER,50484049200, $0.01 ,8/17/16,ML,Y,G,6/7/17,Low
DERMA-SMOOTHE-FS BODY OIL,68791010104, $2.08 ,7/20/16,ML,N,B,6/7/17,Low
DESCOVY 200-25 MG TABLET,61958200201, $50.31 ,3/22/17,EA,N,B,6/7/17,High
DESENEX 2% POWDER,67094915, $0.08 ,1/18/17,GM,Y,B,6/7/17,Low
DESIPRAMINE 10 MG TABLET,69238105303, $0.64 ,5/17/17,EA,N,G,6/7/17,Low
DESIPRAMINE 100 MG TABLET,69238106101, $3.75 ,1/18/17,EA,N,G,6/7/17,Low
DESIPRAMINE 25 MG TABLET,68084097225, $1.08 ,5/17/17,EA,N,G,6/7/17,Low
DESIPRAMINE 50 MG TABLET,45963034302, $2.10 ,4/19/17,EA,N,G,6/7/17,Low
DESLORATADINE 5 MG TABLET,76439010750, $0.45 ,5/17/17,EA,N,G,6/7/17,Low
DESMOPRESSIN 0.01% SOLUTION,24208034205, $17.57 ,5/17/17,ML,N,G,6/7/17,High
DESMOPRESSIN 0.01% SPRAY,62756016191, $17.57 ,5/17/17,ML,N,G,6/7/17,High
DESMOPRESSIN 0.1 MG/ML SPRAY,60505081500, $17.27 ,5/17/17,ML,N,G,6/7/17,High
DESMOPRESSIN 10 MCG/0.1 ML SPR,66993002501, $17.27 ,5/17/17,ML,N,G,6/7/17,High
DESMOPRESSIN ACETATE 0.1 MG TB,68001023300, $0.84 ,6/7/17,EA,N,G,6/7/17,Low
DESMOPRESSIN ACETATE 0.2 MG TB,51079044601, $0.80 ,5/17/17,EA,N,G,6/7/17,Low
DESOGESTR-ETH ESTRAD ETH ESTRA,378729653, $0.72 ,5/17/17,EA,N,G,6/7/17,Low
DESONATE 0.05% GEL,50419082806, $8.24 ,1/1/17,GM,N,B,6/7/17,High
DESONIDE 0.05% CREAM,45802042235, $2.60 ,5/17/17,GM,N,G,6/7/17,Low
DESONIDE 0.05% LOTION,472080302, $2.53 ,5/17/17,ML,N,G,6/7/17,Low
DESONIDE 0.05% OINTMENT,51672128101, $2.98 ,5/17/17,GM,N,G,6/7/17,Low
DESOXIMETASONE 0.05% CREAM,51672127103, $4.59 ,4/19/17,GM,N,G,6/7/17,Low
DESOXIMETASONE 0.05% GEL,51672126101, $3.78 ,6/22/16,GM,N,G,6/7/17,Low
DESOXIMETASONE 0.05% OINTMENT,51672135203, $4.35 ,4/19/17,GM,N,G,6/7/17,Low
DESOXIMETASONE 0.25% CREAM,45802049535, $1.59 ,5/17/17,GM,N,G,6/7/17,Low
DESOXIMETASONE 0.25% OINTMENT,68462053117, $3.87 ,4/19/17,GM,N,G,6/7/17,Low
DESVENLAFAXINE ER 100 MG TAB,63304019230, $3.87 ,5/17/17,EA,N,G,6/7/17,Low
DESVENLAFAXINE ER 50 MG TAB,63304019130, $3.81 ,5/17/17,EA,N,G,6/7/17,Low
DESVENLAFAXINE SUC ER 100 MG,68180059306, $1.62 ,5/17/17,EA,N,G,6/7/17,Low
DESVENLAFAXINE SUC ER 25 MG TB,59762121003, $1.07 ,5/17/17,EA,N,G,6/7/17,Low
DESVENLAFAXINE SUC ER 50 MG TB,54040022, $1.48 ,5/17/17,EA,N,G,6/7/17,Low
DETROL 1 MG TABLET,9454102, $6.92 ,6/1/17,EA,N,B,6/7/17,High
DETROL 2 MG TABLET,9454402, $6.84 ,6/1/17,EA,N,B,6/7/17,High
DETROL LA 2 MG CAPSULE,9519004, $11.89 ,6/1/17,EA,N,B,6/7/17,High
DETROL LA 4 MG CAPSULE,9519102, $11.80 ,6/1/17,EA,N,B,6/7/17,High
DEXAMETHASONE 0.1% EYE DROP,24208072002, $9.34 ,5/17/17,ML,N,G,6/7/17,High
DEXAMETHASONE 0.5 MG TABLET,54817925, $0.05 ,5/17/17,EA,N,G,6/7/17,Low
DEXAMETHASONE 0.5 MG/5 ML ELX,60432046608, $0.13 ,5/17/17,ML,N,G,6/7/17,Low
DEXAMETHASONE 0.5 MG/5 ML LIQ,54317757, $0.19 ,5/17/17,ML,N,G,6/7/17,Low
DEXAMETHASONE 0.75 MG TABLET,54418025, $0.09 ,5/17/17,EA,N,G,6/7/17,Low
DEXAMETHASONE 1 MG TABLET,54418125, $0.25 ,5/17/17,EA,N,G,6/7/17,Low
DEXAMETHASONE 1.5 MG TABLET,54418225, $0.08 ,4/19/17,EA,N,G,6/7/17,Low
DEXAMETHASONE 120 MG/30 ML VL,55150023930, $0.92 ,5/17/17,ML,N,G,6/7/17,Low
DEXAMETHASONE 2 MG TABLET,54817625, $0.47 ,5/17/17,EA,N,G,6/7/17,Low
DEXAMETHASONE 4 MG TABLET,49884008701, $0.11 ,5/17/17,EA,N,G,6/7/17,Low
DEXAMETHASONE 4 MG/ML VIAL,55150023701, $0.77 ,4/19/17,ML,N,G,6/7/17,Low
DEXAMETHASONE 6 MG TABLET,49884012901, $0.40 ,2/22/17,EA,N,G,6/7/17,Low
DEXAMETHASONE INTENSOL 1 MG/1 ML,54317644, $0.77 ,5/17/17,ML,N,G,6/7/17,Low
DEXEDRINE SPANSULE 10 MG,52054051309, $16.95 ,12/21/16,EA,N,B,6/7/17,High
DEXILANT DR 30 MG CAPSULE,64764017130, $8.27 ,5/17/17,EA,N,B,6/7/17,High
DEXILANT DR 60 MG CAPSULE,64764017530, $8.28 ,5/17/17,EA,N,B,6/7/17,High
DEXMETHYLPHENIDATE 10 MG TAB,57664037988, $0.95 ,5/17/17,EA,N,G,6/7/17,Low
DEXMETHYLPHENIDATE 2.5 MG TAB,93527501, $0.48 ,5/17/17,EA,N,G,6/7/17,Low
DEXMETHYLPHENIDATE 5 MG TAB,781568901, $0.65 ,5/17/17,EA,N,G,6/7/17,Low
DEXMETHYLPHENIDATE ER 10 MG CP,378408101, $5.69 ,5/17/17,EA,N,G,6/7/17,High
DEXMETHYLPHENIDATE ER 15 MG CP,68084094033, $3.75 ,5/17/17,EA,N,G,6/7/17,Low
DEXMETHYLPHENIDATE ER 20 MG CP,781268501, $5.75 ,5/17/17,EA,N,G,6/7/17,High
DEXMETHYLPHENIDATE ER 25 MG CP,49884033301, $6.77 ,5/17/17,EA,N,G,6/7/17,High
DEXMETHYLPHENIDATE ER 30 MG CP,781268701, $4.11 ,5/17/17,EA,N,G,6/7/17,Low
DEXMETHYLPHENIDATE ER 40 MG CP,781268901, $5.73 ,5/17/17,EA,N,G,6/7/17,High
DEXMETHYLPHENIDATE ER 5 MG CAP,45963080411, $4.38 ,5/17/17,EA,N,G,6/7/17,Low
DEXPAK 10 DAY 1.5 MG TABLET,95008735, $7.52 ,9/21/16,EA,N,G,6/7/17,High
DEXPAK 6 DAY 1.5 MG TABLET,95008921, $7.49 ,11/23/16,EA,N,G,6/7/17,High
DEXTROAMP-AMPHET ER 10 MG CAP,115132901, $2.99 ,5/17/17,EA,N,G,6/7/17,Low
DEXTROAMP-AMPHET ER 15 MG CAP,66993059602, $2.94 ,5/17/17,EA,N,G,6/7/17,Low
DEXTROAMP-AMPHET ER 20 MG CAP,781235201, $2.78 ,5/17/17,EA,N,G,6/7/17,Low
DEXTROAMP-AMPHET ER 25 MG CAP,115133201, $2.66 ,5/17/17,EA,N,G,6/7/17,Low
DEXTROAMP-AMPHET ER 30 MG CAP,60687022132, $2.81 ,5/17/17,EA,N,G,6/7/17,Low
DEXTROAMP-AMPHET ER 5 MG CAP,781232901, $2.86 ,5/17/17,EA,N,G,6/7/17,Low
DEXTROAMP-AMPHETAM 12.5 MG TAB,228304911, $0.53 ,5/17/17,EA,N,G,6/7/17,Low
DEXTROAMP-AMPHETAM 7.5 MG TAB,378454201, $0.70 ,5/17/17,EA,N,G,6/7/17,Low
DEXTROAMP-AMPHETAMIN 10 MG TAB,555097202, $0.50 ,5/17/17,EA,N,G,6/7/17,Low
DEXTROAMP-AMPHETAMIN 15 MG TAB,64720013410, $0.50 ,5/17/17,EA,N,G,6/7/17,Low
DEXTROAMP-AMPHETAMIN 20 MG TAB,228305111, $0.49 ,5/17/17,EA,N,G,6/7/17,Low
DEXTROAMP-AMPHETAMIN 30 MG TAB,555097402, $0.55 ,5/17/17,EA,N,G,6/7/17,Low
DEXTROAMP-AMPHETAMINE 5 MG TAB,68084087425, $0.58 ,5/17/17,EA,N,G,6/7/17,Low
